timestamp,voltage_V,current_A,temp_C,humidity_pct,light_lux
2026-05-23 09:21,3.292,0.03,29.37,79.40,2009.2
2026-05-23 09:31,9.160,0.25,32.48,67.98,38763.3
2026-05-23 09:41,9.048,0.24,34.70,63.75,43637.5
2026-05-23 09:51,9.420,0.32,36.43,55.93,45869.2
2026-05-23 10:01,8.712,0.19,35.53,59.49,26345.8
2026-05-23 10:11,8.876,0.23,35.35,57.74,28875.0
2026-05-23 10:21,8.616,0.19,34.65,64.11,23709.2
2026-05-23 10:31,9.224,0.31,36.00,58.56,38892.5
2026-05-23 10:41,8.600,0.19,36.69,56.30,24128.3
2026-05-23 10:51,9.524,0.36,35.23,60.55,42754.2
2026-05-23 11:01,4.016,0.05,33.38,66.50,6184.2
2026-05-23 11:11,8.172,0.12,32.32,67.59,16629.2
2026-05-23 11:21,8.152,0.12,32.38,68.62,16658.3
2026-05-23 11:31,8.284,0.14,32.59,65.74,19280.0
2026-05-23 11:41,8.452,0.16,32.85,65.83,22210.8
2026-05-23 11:51,8.184,0.12,32.90,66.99,16264.2
2026-05-23 12:01,8.244,0.13,32.97,66.06,17906.7
2026-05-23 12:10,8.556,0.18,33.37,65.55,23550.0
2026-05-23 12:20,8.752,0.21,34.14,63.48,26765.8
2026-05-23 12:30,8.624,0.20,34.38,60.94,26018.3
2026-05-23 12:40,9.196,0.30,35.91,57.45,38821.7
2026-05-23 12:50,8.680,0.21,35.74,57.09,26828.3
2026-05-23 13:00,8.396,0.15,34.88,59.75,20373.3
2026-05-23 13:10,8.272,0.14,33.76,63.13,18092.5
2026-05-23 13:20,8.524,0.18,33.74,61.06,24961.7
2026-05-23 13:30,8.160,0.12,33.07,64.16,16745.8
2026-05-23 13:40,4.800,0.06,32.07,67.63,7491.7
2026-05-23 13:50,5.676,0.06,31.26,71.12,8320.8
2026-05-23 14:00,6.080,0.07,31.10,70.79,8900.0
2026-05-23 14:10,6.276,0.07,30.89,72.86,8697.5
2026-05-23 14:20,8.012,0.10,31.30,72.97,12533.3
2026-05-23 14:30,8.412,0.15,32.18,68.83,19754.2
2026-05-23 14:40,8.312,0.14,32.92,67.06,18433.3
2026-05-23 14:50,8.512,0.18,33.49,64.17,22870.0
2026-05-23 15:00,8.488,0.17,33.92,61.56,22246.7
2026-05-23 15:10,9.128,0.28,34.11,61.42,32415.8
2026-05-23 15:20,8.472,0.16,34.89,60.06,20863.3
2026-05-23 15:30,8.436,0.16,34.53,59.04,20537.5
2026-05-23 15:40,8.372,0.15,34.02,60.64,19648.3
2026-05-23 15:50,8.432,0.16,34.47,61.41,19720.0
2026-05-23 16:00,8.116,0.12,33.69,62.47,15094.2
2026-05-23 16:10,8.320,0.14,33.33,62.87,17352.5
2026-05-23 16:20,8.084,0.10,33.42,62.56,12980.8
2026-05-23 16:30,8.072,0.11,32.75,63.70,13425.8
2026-05-23 16:40,7.996,0.10,32.41,64.83,12301.7
2026-05-23 16:50,7.788,0.08,31.98,65.80,10453.3
2026-05-23 17:00,4.580,0.05,31.45,68.16,6713.3
2026-05-23 17:10,5.920,0.06,31.07,69.42,8165.0
2026-05-23 17:20,6.964,0.07,31.29,70.71,8972.5
2026-05-23 17:30,4.240,0.05,31.16,70.83,6446.7
2026-05-23 17:40,4.256,0.05,30.74,70.90,6304.2
2026-05-23 17:50,4.064,0.05,30.55,73.28,6163.3
2026-05-23 18:00,3.492,0.04,30.31,73.40,4545.0
2026-05-23 18:10,3.260,0.02,29.87,73.53,2790.8
2026-05-23 18:20,3.248,0.01,29.47,76.56,1545.8
2026-05-23 18:30,3.208,0.01,29.09,76.56,925.0
2026-05-23 18:40,2.960,0.00,28.83,77.39,429.2
2026-05-23 18:50,2.408,0.00,28.61,80.01,90.8
2026-05-23 19:00,2.552,0.00,28.44,80.13,15.0
2026-05-23 19:10,1.000,0.00,28.31,79.58,0.8
2026-05-23 19:19,0.372,0.00,28.20,80.65,0.0
2026-05-23 19:29,0.284,0.00,28.15,81.95,0.0
2026-05-23 19:39,0.280,0.00,28.11,82.09,0.0
2026-05-23 19:49,0.284,0.00,28.06,80.51,0.0
