timestamp,voltage_V,current_A,temp_C,humidity_pct,light_lux
2026-04-25 16:05,3.968,0.04,29.31,76.51,5069.2
2026-04-25 16:15,6.068,0.07,29.49,74.26,9246.7
2026-04-25 16:25,7.748,0.08,29.93,71.89,9493.3
2026-04-25 16:35,7.792,0.08,30.54,69.78,10325.0
2026-04-25 16:45,8.424,0.14,31.90,65.59,13540.0
2026-04-25 16:55,8.364,0.14,33.07,62.30,13025.0
2026-04-25 17:05,8.532,0.17,35.21,55.41,12680.8
2026-04-25 17:15,8.664,0.18,36.92,51.56,47150.0
2026-04-25 17:25,9.152,0.27,38.49,46.40,44764.2
2026-04-25 17:35,8.940,0.23,40.49,42.57,54612.5
2026-04-25 17:44,9.940,0.48,42.05,39.40,54612.5
2026-04-25 17:54,10.288,0.58,39.14,46.27,54612.5
2026-04-25 18:04,8.076,0.11,36.15,52.18,13895.0
2026-04-25 18:14,7.772,0.08,33.46,57.69,11206.7
2026-04-25 18:24,8.140,0.12,32.90,60.20,16715.8
2026-04-25 18:34,8.832,0.24,35.21,52.29,33072.5
2026-04-25 18:44,10.288,0.60,38.68,44.83,54612.5
2026-04-25 18:54,10.212,0.57,37.46,48.74,54612.5
2026-04-25 19:04,10.324,0.60,39.40,42.98,54612.5
2026-04-25 19:14,10.380,0.63,40.56,40.69,54612.5
2026-04-25 19:24,10.532,0.67,40.37,43.18,54612.5
2026-04-25 19:34,10.432,0.65,41.03,42.08,54612.5
2026-04-25 19:44,10.520,0.66,41.49,38.41,54612.5
2026-04-25 19:54,10.452,0.66,42.11,36.76,54612.5
2026-04-25 20:04,10.500,0.67,42.40,36.66,54612.5
2026-04-25 20:14,10.516,0.66,42.90,34.11,54612.5
2026-04-25 20:24,10.540,0.68,43.81,34.19,54612.5
2026-04-25 20:34,10.476,0.66,44.29,33.08,54612.5
2026-04-25 20:44,9.900,0.51,45.29,32.69,54612.5
2026-04-25 20:54,9.880,0.50,47.07,31.72,54612.5
2026-04-25 21:04,9.848,0.49,47.00,30.01,54612.5
2026-04-25 21:14,9.748,0.47,47.03,29.88,54612.5
2026-04-25 21:24,9.680,0.45,47.09,31.30,54612.5
2026-04-25 21:34,9.584,0.43,47.64,29.34,54612.5
2026-04-25 21:44,9.516,0.41,47.42,30.64,54612.5
2026-04-25 21:54,9.436,0.39,47.29,32.33,54612.5
2026-04-25 22:04,9.376,0.37,46.96,32.26,54612.5
2026-04-25 22:14,9.248,0.35,47.33,31.87,54612.5
2026-04-25 22:24,9.180,0.33,47.55,28.64,54612.5
2026-04-25 22:34,9.044,0.30,46.35,30.85,54612.5
2026-04-25 22:44,8.876,0.27,45.56,32.77,54612.5
2026-04-25 22:54,8.804,0.25,44.44,34.72,54612.5
2026-04-25 23:04,8.588,0.20,41.50,39.77,43655.8
2026-04-25 23:14,7.912,0.10,39.49,43.79,16106.7
2026-04-25 23:24,7.900,0.09,38.38,45.78,15471.7
2026-04-25 23:34,7.820,0.09,37.18,47.84,15600.0
2026-04-25 23:44,7.864,0.09,36.73,49.56,15334.2
2026-04-25 23:54,7.880,0.09,36.07,50.31,14955.0
2026-04-26 00:04,7.684,0.08,35.95,51.30,14132.5
2026-04-26 00:14,7.720,0.08,35.63,52.63,13652.5
2026-04-26 00:24,7.344,0.08,35.87,51.25,12366.7
2026-04-26 00:34,6.100,0.07,35.62,53.49,10772.5
2026-04-26 00:44,4.648,0.06,34.95,54.74,8199.2
2026-04-26 00:54,4.252,0.05,34.32,55.87,7262.5
2026-04-26 01:04,3.856,0.04,33.76,59.02,6188.3
2026-04-26 01:13,3.764,0.04,33.66,59.09,5609.2
2026-04-26 01:23,3.232,0.03,34.15,57.90,4214.2
2026-04-26 01:33,3.260,0.03,34.01,58.05,3933.3
2026-04-26 01:43,3.228,0.02,33.74,59.91,3594.2
2026-04-26 01:53,3.224,0.02,33.57,60.01,2721.7
2026-04-26 02:03,3.220,0.02,33.59,61.01,2215.0
2026-04-26 02:13,3.216,0.01,33.32,60.72,1584.2
2026-04-26 02:23,3.212,0.01,33.02,62.11,1236.7
2026-04-26 02:33,3.184,0.01,33.07,59.90,858.3
2026-04-26 02:43,3.180,0.01,32.79,61.84,671.7
2026-04-26 02:53,3.064,0.00,32.70,62.72,210.8
2026-04-26 03:03,2.276,0.00,32.64,62.13,17.5
2026-04-26 03:13,2.048,0.00,32.37,62.66,1.7
2026-04-26 03:23,0.660,0.00,32.25,62.15,0.0
2026-04-26 03:33,0.284,0.00,32.26,63.75,0.0
