timestamp,voltage_V,current_A,temp_C,humidity_pct,light_lux
2026-05-29 09:59,0.892,0.0,18.78,95.09,9.2
2026-05-29 10:09,3.44,0.03,28.13,94.75,4160.8
2026-05-29 10:19,4.084,0.05,32.98,95.84,5646.7
2026-05-29 17:14,9.084,0.39,33.66,77.3,49968.3
2026-05-29 17:24,8.536,0.23,45.39,100.0,31220.8
2026-05-29 17:34,9.352,0.46,45.53,55.87,54612.5
2026-05-29 17:44,9.4,0.44,45.64,57.54,54612.5
2026-05-29 17:56,8.504,0.22,35.55,67.03,41505.0
2026-05-29 17:58,8.536,0.23,35.1,68.03,35406.7
2026-05-29 18:05,7.924,0.11,34.42,71.01,13950.0
2026-05-29 18:07,6.012,0.07,33.86,73.54,8632.5
2026-05-29 18:14,4.332,0.05,31.75,78.17,7891.7
2026-05-29 18:17,3.244,0.02,31.1,81.17,2708.3
2026-05-29 18:18,3.24,0.01,30.76,80.73,1769.2
2026-05-29 18:22,7.78,0.09,28.57,83.37,12011.7
2026-05-29 18:23,8.072,0.12,28.35,85.28,16332.5
2026-05-29 18:27,8.408,0.2,28.33,92.45,27733.3
2026-05-29 18:30,8.276,0.17,29.07,85.5,22820.8
2026-05-29 18:32,8.332,0.19,29.5,87.62,26233.3
2026-05-29 18:37,8.256,0.17,29.97,83.71,23144.2
2026-05-29 18:38,8.308,0.17,30.1,84.29,23600.8
2026-05-29 18:46,8.16,0.14,31.03,80.17,19253.3
2026-05-29 18:49,3.46,0.04,30.93,80.23,4688.3
2026-05-29 18:53,4.5,0.05,29.3,88.08,7633.3
2026-05-29 18:58,8.264,0.17,27.32,95.56,22650.8
2026-05-29 19:01,8.044,0.12,27.39,96.87,16239.2
2026-05-29 19:09,7.936,0.1,27.71,97.15,14039.2
2026-05-29 19:11,8.016,0.11,27.84,96.74,15444.2
2026-05-29 19:21,3.344,0.04,23.73,100.0,5104.2
2026-05-29 19:38,6.216,0.07,24.28,100.0,9188.3
2026-05-29 19:40,5.124,0.06,24.33,100.0,7812.5
2026-05-29 19:53,7.296,0.07,25.33,100.0,10092.5
2026-05-29 19:56,5.792,0.06,25.47,100.0,8690.8
2026-05-29 20:11,3.368,0.04,25.16,100.0,5630.0
2026-05-29 20:15,3.36,0.04,24.86,100.0,5002.5
2026-05-29 20:32,3.368,0.04,25.1,100.0,5310.8
2026-05-29 20:36,3.368,0.04,25.3,100.0,5276.7
2026-05-29 20:57,3.32,0.03,25.55,100.0,4132.5
2026-05-29 21:01,3.304,0.03,25.71,100.0,3733.3
2026-05-29 21:28,3.272,0.01,25.69,100.0,1490.0
2026-05-29 21:30,3.272,0.01,25.66,100.0,1763.3
