timestamp,voltage,current,power,lux,temperature,humidity,source_file,source_row,quality_flag
2026-04-25T16:05:00Z,3.968000,0.040000,0.158720,5069.200000,29.310000,76.510000,Week3/Day 20!.csv,2,OK
2026-04-25T16:15:00Z,6.068000,0.070000,0.424760,9246.700000,29.490000,74.260000,Week3/Day 20!.csv,3,OK
2026-04-25T16:25:00Z,7.748000,0.080000,0.619840,9493.300000,29.930000,71.890000,Week3/Day 20!.csv,4,OK
2026-04-25T16:35:00Z,7.792000,0.080000,0.623360,10325.000000,30.540000,69.780000,Week3/Day 20!.csv,5,OK
2026-04-25T16:45:00Z,8.424000,0.140000,1.179360,13540.000000,31.900000,65.590000,Week3/Day 20!.csv,6,OK
2026-04-25T16:55:00Z,8.364000,0.140000,1.170960,13025.000000,33.070000,62.300000,Week3/Day 20!.csv,7,OK
2026-04-25T17:05:00Z,8.532000,0.170000,1.450440,12680.800000,35.210000,55.410000,Week3/Day 20!.csv,8,OK
2026-04-25T17:15:00Z,8.664000,0.180000,1.559520,47150.000000,36.920000,51.560000,Week3/Day 20!.csv,9,OK
2026-04-25T17:25:00Z,9.152000,0.270000,2.471040,44764.200000,38.490000,46.400000,Week3/Day 20!.csv,10,OK
2026-04-25T17:35:00Z,8.940000,0.230000,2.056200,54612.500000,40.490000,42.570000,Week3/Day 20!.csv,11,OK
2026-04-25T17:44:00Z,9.940000,0.480000,4.771200,54612.500000,42.050000,39.400000,Week3/Day 20!.csv,12,OK
2026-04-25T17:54:00Z,10.288000,0.580000,5.967040,54612.500000,39.140000,46.270000,Week3/Day 20!.csv,13,OK
2026-04-25T18:04:00Z,8.076000,0.110000,0.888360,13895.000000,36.150000,52.180000,Week3/Day 20!.csv,14,OK
2026-04-25T18:14:00Z,7.772000,0.080000,0.621760,11206.700000,33.460000,57.690000,Week3/Day 20!.csv,15,OK
2026-04-25T18:24:00Z,8.140000,0.120000,0.976800,16715.800000,32.900000,60.200000,Week3/Day 20!.csv,16,OK
